lib_name,lib_address,latitude,longitude,lib_name_survey,lib_address_survey,broadband,wifi,down_open,upload_open,down_midday,upload_midday,down_close,upload_close,avg_down_speed,avg_up_speed
Glenside Public Library District,"25 East Fullerton Avenue Glendale Heights, IL 60139-2688",41.9167576,-88.0896945,Glenside Public Library District,25 E Fullerton Ave,Yes,Yes,320.0,35.0,320.0,35.0,320.0,35.0,320.0,35.0
Glenview Public Library,"1930 Glenview Road Glenview, IL 60025-2848",42.0732059,-87.8062624,Glenview Public Library,"1930 Glenview Rd, Glenview, IL 60025",Yes,Yes,46.0,51.0,46.0,49.0,49.0,49.0,47.0,49.666666666666664
Glenwood-Lynwood Public Library District,"19901 Stony Island Avenue Lynwood, IL 60411-8659",41.5333859,-87.57673520000002,,,,,,,,,,,,
Golconda Public Library,"126 West Main Street Golconda, IL 62938-0523",37.3674678,-88.48825219999999,,,,,,,,,,,,
Golden Prairie Public Library District,"Bloomington Public Library Bloomington, IL 61701",40.4765924,-88.9914337,,,,,,,,,,,,
Goose Creek District Library,"220 North Highway Avenue DeLand, IL 61839-0237",40.1253027,-88.64677119999999,,,,,,,,,,,,
Grand Prairie of the West Public Library District,"142 W. Jackson Virden, IL 62690",39.5016135,-89.7687547,Grand Prairie of the West Public Library District,"142 West Jackson Street, Virden, IL 62690",Yes,Yes,242.0,191.0,,,,,242.0,191.0
Grande Prairie Public Library District,"3479 West 183rd Street Hazel Crest, IL 60429-2419",41.5565158,-87.70086479999999,,,,,,,,,,,,
Grant Park Public Library,"107 West Taylor Street Grant Park, IL 60940",41.2412905,-87.64512549999999,,,,,,,,,,,,
Graves-Hume Public Library District,"1401 West Main Street Mendota, IL 61342-2500",41.5559427,-89.1207924,,,,,,,,,,,,
Grayslake Area Public Library District,"100 Library Lane Grayslake, IL 60030-1684",42.3467363,-88.036264,,,,,,,,,,,,
Augusta Library,"202 Center Street Augusta, IL 62311-0235",40.2307123,-90.9495551,,,,,,,,,,,,
Bowen Branch,"115 East Fifth Street Bowen, IL 62316-1034",40.2313787,-91.0639075,,,,,,,,,,,,
Golden Branch,"309 Quincy Street Golden, IL 62339-0087",40.10996249999999,-91.0162208,,,,,,,,,,,,
Littleton Branch,"110 South Center Street Littleton, IL 61452-5010",40.2336414,-90.61917660000002,,,,,,,,,,,,
Plymouth Branch,"103 West Main Street Plymouth, IL 62367-0251",40.2915982,-90.9198552,,,,,,,,,,,,
Green Hills Public Library District,"10331 South Interlochen Drive Palos Hills, IL 60465-1773",41.7030988,-87.8324106,,,,,,,,,,,,
Greenfield Public Library,"515 Chestnut Street Greenfield, IL 62044-0214",39.34422319999999,-90.2113877,,,,,,,,,,,,
Greenup Township Public Library,"101 North Franklin Street Greenup, IL 62428-0275",39.2468035,-88.16717609999999,Greenup Township Public Library,"101 N Franklin St, Greenup, IL 62428",Yes,Yes,31.0,28.0,19.0,23.0,33.0,30.0,27.666666666666668,27.0
Greenville Public Library,"414 West Main Street Greenville, IL 62246",38.8917885,-89.4149312,Greenville Public Library,"414 W Main St, Greenville, IL  62246",No,Yes,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Greig Memorial Library,"110 South Joy Street Oneida, IL 61467-0446",41.0719859,-90.222451,,,,,,,,,,,,
